Control Number,Confidence,Concentration,Responsiveness,Initiative,Excitability,Hearing Sensitivity,Body Sensitivity,CR,IP,PP,Total Score,CR.1,MP,PP.1,IP.1,HG,H1,H2,ACT,Total Score.1,BehElim,X_axis,Y_axis,Z_axis
12-0470,5.004323734369301,4.0001282128672715,4.977612558414847,5.017047082803367,4.9919543717092605,5.006165298847311,4.992928746687355,3.0038158210584576,3.0039368598460947,2.0028661883931203,34.074371237987684,5.026040829244203,2.0301430322884153,3.025251849520629,5.010115552412657,1.0014015323093628,0.9685845890565056,1.004084303916241,3.9908138713522168,22.007823591239536,0,-32.355500640054466,2.6922527530463363,11.18356047651746
12-0469,2.965810721240179,3.9965305946188123,3.99207214557653,4.02115195126231,3.985639464782591,4.990855099031523,4.99752823342641,2.990988014327945,3.0000602533432965,1.0055833064054596,29.080758610432216,4.988029476214169,2.0053578415346025,2.98242425606498,4.954881784361141,4.017699147047368,0.9700951137514852,3.004719268614121,3.997912709620994,26.95312705415351,0,-22.973136778162115,4.0630697632112005,11.292008288886098
12-0468,1.9691766552347787,2.0011182439082016,2.014002618422597,3.015114362450585,3.007177475460893,3.003715101408001,4.981025128578787,2.99557565138113,2.9927656860384935,3.0454541597738882,18.939613115139785,4.991540026070454,1.9922301748240172,3.018093985784988,4.99634104182415,4.02497735847926,0.9677076352806726,4.014109163433377,4.00403413360209,28.132818707193113,0,14.014853442208908,2.44948554511124,10.682668359658859
12-0467,3.989952227263064,2.992529912218819,4.00070680753979,4.017441865300004,4.999018512530534,4.996683294742922,5.003929924575947,3.0082428676227493,1.982512390365165,0.9949062400522233,30.026000413113163,5.009973996471443,1.991648005792202,2.0013316580267735,4.985667166816725,3.992692478773489,0.9813428116483904,0.9863813428205056,4.000583971786822,24.11632702985097,0,48.536819318529844,3.3347905764510624,11.333978978276848
12-0450,3.981901258006284,2.9692774850395045,3.981731810896943,2.9873167598081087,3.9816193072344843,4.994205399300763,4.991579531480494,2.99831175790165,1.9967013766463555,2.9886017646875986,27.99943761154666,4.9778046354445316,3.0024941115103974,3.984308485489536,5.000039748897614,4.0028120037936095,2.067516622232037,2.034493104193492,5.004374803886327,29.84691535712023,0,54.05621067525197,3.7897177253511662,11.14027293135503
12-0449,3.0056154291477313,3.0298091726535237,3.0077979832043393,2.996339217744989,3.979182015609356,3.987383555944468,4.004213292735624,2.985813774195568,2.0165327259687107,2.0056237924134503,23.995300606380564,4.999433381394008,4.017687897626215,3.009281365697503,5.034863573763005,3.9928225165495745,1.9730591692854578,4.029702785059791,4.998453958350324,31.978321313352374,0,38.78302595282908,3.6282566476264777,12.668761054465348
12-0448,3.98377410297038,3.0022672411128624,3.987838016965708,3.981753146608956,4.9868423584882065,3.0082532355840366,5.003673949259181,3.0014324452126497,0.9997339969647911,0.9851804652439397,28.095392687743118,5.001982484082751,2.9743472567513223,5.001677992213593,5.024796646103668,3.991576649753057,3.9504849075999924,5.053777211221691,5.005094822877608,35.93781834241426,0,33.10563726226742,4.011081657393661,11.291742753499785
12-0447,2.974762899960264,3.005811658478109,3.0305326792449683,2.9961201284763965,3.0249916978795754,4.988418492256441,4.996664806687327,3.0049514946037403,1.0103544992841338,2.0065635645645683,24.982966799831086,5.00606199784916,3.993187568772778,3.9838507464990767,4.992668740060304,3.989155652963731,5.015148017185247,4.974163065064751,5.00530567215267,36.90265406589799,0,16.01392830601527,2.67789953051484,10.737630450461383
12-0027,5.026190347422737,4.999154734704967,4.026284477976777,5.0126099306773435,5.03037593004585,4.999558744622839,5.006137695023249,3.017625850339303,3.02995820115225,2.999142835119815,33.958726964785086,5.004880283426934,4.028102487050727,4.978589872963833,4.9972531174618195,3.9721856264468736,3.0074339319492354,3.0052271596510285,5.007639000161971,33.986130716591184,0,11.270270629522528,3.758656780353526,12.63587529936644
12-0026,4.995965500142361,3.989269679433773,5.010278326860813,5.00248073894256,5.002813354774898,4.991964215014641,5.004559018818045,3.014797072771456,2.990151208194967,2.9879198974019983,33.941559237478955,5.027805853985052,3.0140110640923963,4.991294250333076,2.9875905403682337,4.017607492387628,1.0680008643747543,3.954578286484427,5.00712984455301,29.93521133197919,0,9.673208483012946,3.1097250188299475,11.567673638593252
12-0025,3.001206692339333,3.9972861057185427,4.0231566485157435,4.024174187340979,5.0020441517636085,5.0065882289458274,4.998104727944462,2.9991701755493407,3.0051387837476717,3.0079226171055553,29.987483724426642,4.987623325817965,3.012561544679014,4.989770513503372,4.997765506615218,4.002079918091635,2.9987484079503695,4.967839339174311,5.008811958524098,34.925110668694536,0,9.215441959653113,-8.875488592991463,10.49855633829941
12-0024,4.974540523774804,4.97665402492043,5.001102382902604,4.9789605773898185,4.995384201864325,4.997160786794135,4.997412786744354,2.992973029115319,3.0170412315315063,2.0017358750457537,34.94727753246221,4.990986344451828,3.006927153336531,4.024441408744562,5.010903347606689,4.031125138040722,3.929816697485184,4.021318933549581,4.9956791271481675,33.91657612939336,0,3.4641416870653856,15.26074844287934,10.649520053334147
12-0023,3.990272176398209,4.0332380759860955,5.013023423731783,5.009220764368105,4.98717474143752,4.998858184351921,5.0067307895430195,2.9970689489917377,1.984171715717017,3.012184311228539,32.93798890203346,5.008525415507297,3.0052753735944133,4.995711114063977,2.9805425394221334,4.016814727248161,4.986885674211948,4.996639730276407,4.9961785708926,35.10878976413273,0,156.54166040728262,64.78121698256295,162.11561064116867
12-0022,2.0019821264296964,3.9819801295891093,4.025142454745422,3.9769903567369127,5.018873519007468,4.999144595521589,5.001423249783022,2.993276039353448,3.0030209666667735,3.0264809482470905,28.93618271448278,5.003166813709715,2.9920452575825314,4.992531407750074,4.0232050974011555,1.9918368798418518,2.986275760597111,4.97232934818119,5.00180704049363,31.983746137891323,0,166.06942202622923,-33.75954019940394,-165.93486535428607
12-0021,3.9794323699420766,3.9849366399621076,5.004177001234061,5.001735930542027,5.025713727595364,5.002569334524424,5.006408518655608,3.0064983586394596,3.0317671448396695,2.991961053413351,32.940444089803016,5.004913222780498,2.9905153679165117,5.022596600928686,5.013543958998227,3.976720086706566,4.962172831333191,5.022270308022934,5.017522739525781,36.99487865439041,0,14.63371540031439,-69.77078583197992,-4.569263465279154
12-0020,4.0067135195247,4.993573643820082,3.9956581553817676,4.013646374840508,3.9877383515950555,5.000110432468839,4.985345241294023,3.0133734336121045,1.9942270781717306,1.9934054882381333,30.945442822853998,4.9803437565396775,2.0136969606507478,2.0270177389490764,4.012899104789188,2.038092096865449,2.9827379016475786,2.009630755104096,4.002040838476862,24.103399287820938,0,-59.06896497553953,-31.489567821079444,83.06101171456844
12-0016,3.989266912852466,4.018801727055643,3.97099696026523,3.996046129565478,4.998863092263443,4.999632537345727,5.000604140224228,3.015917632388796,2.0181263016989526,1.9784356882674214,31.028614962165634,5.030510445900394,3.9908315518228084,3.9833554717511936,3.0056649374923996,3.9653519909793364,3.9954112711288925,3.9314783138409033,5.0150070848427415,32.974064737656555,0,-53.31499808954466,45.49312673242755,126.30372746908544
12-0015,4.994787591126796,3.0002117843219334,3.9985855368469085,5.010158774404614,3.993825851164396,4.995597889354108,4.990323649888744,2.99470788115367,2.997605374729877,3.008349630891384,30.85945509782115,5.0063162612614365,4.004822586804451,4.975101960428815,4.986616402818799,3.9930260133653737,4.998133688479095,2.0316375142828407,5.013240961896405,35.026236200886636,0,-63.10275826099894,65.67276720733958,163.72121854047776
12-0014,1.9892478296608254,2.981956427411643,3.014010012733809,2.9823095016533756,3.9942324673116056,4.986627880930852,4.999841804748463,2.993426341238137,3.0305330302940434,2.9896677070404345,25.94967922394515,4.977868579059349,4.002578131001042,4.010313877032451,5.014990622279768,3.9933444006273495,4.957644723665679,3.0017457019558162,5.013302709676459,34.94067459317173,0,-131.81314232916918,65.76013236472488,165.1964565249848
12-0013,4.033099205078678,4.018309270984115,4.016089340949004,3.9693336321593233,4.016275889220502,4.990501608168927,5.004378809726344,2.994602759749106,2.972081860774566,3.0055371660011807,29.992819962488177,5.008551364739087,3.037242264666316,3.9958485341251073,3.995264341403997,3.9868004047705004,5.018696673543986,2.9843554532021335,5.012633551023092,32.95929083033408,0,-151.77748100903364,65.97597407469466,162.84148718987666
12-0012,3.99975881192505,4.010670237779615,5.008581445271012,5.01026758321877,4.981994103948457,5.0061011096744945,5.010668462025372,2.975195514059998,2.0011020913847553,3.018676978440538,33.082364680817875,4.984565456955213,3.9972742718804137,3.989085740110875,4.974990549492836,3.982633600523253,3.0501945086409252,4.961520160288843,4.991514878739756,35.01000163021576,0,-155.29485341233823,68.91716054418637,164.1545027879901
12-0011,2.981099280203016,3.007859403688367,2.9907901461175745,3.0321468903804134,3.006402020543865,4.997403074873378,2.9942449743683603,2.98455767513416,2.974908734741431,2.9890323564900756,22.982365255173715,5.012997328250801,3.019853308297157,3.020784981325865,5.001178680724272,3.975087976212505,5.008608225718367,5.013226765488957,4.990350626551586,35.01640689965714,0,-162.47303294489322,70.09343127189145,159.3949634970121
12-0010,4.014698430807975,4.010447398073909,3.966365660000034,3.9816401607742993,4.009994637195912,4.9943614325349515,4.996775152499568,2.999556390704664,2.9881084421825834,2.9923995081146826,29.989005607196876,4.981596551875909,3.0120177896692666,4.994783590878388,3.9828332448022086,3.9851992603033644,1.0339460119713453,4.986197815026855,4.992301005223391,32.06112449052443,0,-126.08946505251039,83.7424977259755,-161.15022423041623
12-0009,3.9781841870852106,3.0349499164207456,4.991574235509645,5.022528389778799,4.998049059239183,4.988062987555687,4.999413969487278,3.0048692860417927,2.9880076266520343,3.016257800566272,31.993693586159576,5.014073366513232,2.9980079313017027,5.038398775216643,3.9910378797769828,3.998955645851894,5.005563106628275,4.995753762948467,5.010005979422897,36.0878185460792,0,-8.49046070101646,5.094728738231008,-37.56673890789895
11-1364,2.0037322789969396,2.0318952970034867,1.9948217689289358,2.000800412483763,2.012256827584999,1.985397283683479,2.994021903252649,2.0063059328175954,1.9954706357989533,1.0113366148391134,14.869228424259608,4.982922880469355,3.97886346637019,2.0009545844991994,4.010467380710032,4.00623576689361,4.967891724520438,5.0015456835996845,4.997527646647646,33.99562239384908,1,-129.33831828011353,-84.01913797199056,91.1666336828912
11-1363,2.964981759295486,2.9899761837018164,3.9946757160870567,3.9753795430262078,5.002026434160305,4.994028582758089,5.006002809682511,2.9899796104248035,1.9798386321640487,2.009638913743329,29.04726173541233,4.986370456490524,3.9991000985339977,3.003285524673927,2.998228151958907,3.989291457131932,4.008312288189181,4.015023545435282,,32.088567297413384,0,-174.1641589223018,15.53617247651694,144.95190596973944
11-1362,3.9762660367201903,4.023703453000086,3.0105243362104814,3.979143254909452,5.016704388111806,5.007541072583657,4.999570016828577,2.993694874854213,0.9987828173557778,0.9937279347766592,30.044273585701692,5.001925900240514,3.0152788862303583,5.044835953326082,4.999445345977098,3.989184919199635,4.9845803942458895,5.008214494410807,4.9962680224963245,36.93254197318444,0,175.76063833602313,61.73468318289661,151.4250680894781
11-1361,3.0035178033583554,3.0055930125700314,3.033784999408693,3.0002909566520826,3.9791086327290532,4.995269530698357,5.00074812479937,1.9965399712555874,1.0078125912197775,0.976986651379284,26.05840525704266,4.991443708951522,4.9791891788359175,5.006198566240732,5.017305626170361,3.978736243098004,2.9659594672442937,5.043353505203147,5.004278685503233,37.05791342569002,0,108.55267999958798,-26.264828525839306,39.53507948233508
11-1360,2.0131959966809725,4.007285179845083,3.002101769446425,1.992544651069781,3.9952132658786983,5.003400800302361,5.003804347492247,2.995106909317332,1.974008678488018,2.9885926971412484,25.179687403038397,3.9922442834644554,3.0141995030625877,4.985862223327568,4.96658377450633,4.003417668779585,3.9976043458124733,2.9491302713961214,4.993769649154865,32.9397275793844,0,169.10320989008792,2.4556465190076797,10.453335215825568
11-1359,3.0030622581049244,2.9752983355971323,1.9963124488321067,4.975799414064083,4.999014407099143,4.994879000810524,4.99956009779252,3.0088331260320555,2.989227298949041,0.9838228408169507,27.906886622934678,4.97859972015698,4.022816931235344,3.979572103985664,5.0166611746443355,4.00098132865362,4.025170875624601,4.9835900996339895,4.995520997604327,35.942571212938624,1,164.45904373042077,3.563765825198091,14.69510055285678
11-1358,4.997933428008936,3.9975129205580187,0.9955895085672153,4.968774211292098,4.963325534530412,5.005425060123493,4.9949849440457585,2.983204986676793,3.043112219092495,3.009319414447358,33.89329774138071,4.99538712711491,4.0016312518653185,3.9907531011611033,5.002184497578979,4.007742029048376,4.98955001220812,5.030979173348476,4.997277987426056,37.08454751068037,0,142.93654395061773,5.868882990260554,13.806998290958848
11-0947,3.9946194405065025,3.98813541238684,4.002116326332486,4.98439264123226,4.985095941183057,4.997013040028287,4.999613412972635,2.9852447507927202,1.0055860636013605,1.0045595235579456,32.05061578434363,5.012363869306564,4.015524580115823,4.004724631692136,3.998975822602996,3.988959834718272,4.059522539936964,1.0590206305507792,5.008207658651167,30.81693716539567,0,127.83402662929406,3.376325540585399,11.117467816864888
11-0946,4.97357961510221,4.0120869724685075,3.985907117570434,3.503572431413431,4.988833831560582,4.98953921664905,4.994747899792247,2.996168533891364,1.9691589532932061,1.9904070250588428,30.975799594044606,5.026275961798926,3.0023830576967114,4.018236654860675,3.9994413085660163,3.9814226581655507,5.029176078441772,2.0333800805558253,4.985162022673581,32.05431958843409,0,50.02471333229781,2.9346457653865037,9.684741104628783
11-0945,4.987136774984654,5.015634300712796,4.002045100709076,3.999882016579797,5.013013566318725,4.997716133001107,5.000662390559968,2.98246767596368,0.9762387335188513,0.9931431955069235,32.92932333585618,5.011576475730071,3.009708316712251,3.969890450148918,5.009476137553246,3.9996012237401315,4.9831906841138,3.014488759544854,5.000079382604534,34.0162644473895,0,-42.0386805768214,2.0614244974283857,10.445699063493068
11-0944,3.9917686353622797,3.9697192289242658,3.0076702802289006,4.990760810137793,4.990298993241518,5.0155737692973,5.006115546376197,2.975600783250201,1.003832846703799,2.007622396008696,30.979738230345806,5.009579398104833,3.0253773563694555,4.00006325251134,3.0151958257096765,4.010618882757691,0.9822589053654482,1.0251118455538062,4.996805555475791,26.013794794294903,0,-64.39519154899622,3.5872927299376185,12.367823529730298
11-0943,5.0188901999988325,3.9996783624668,4.003567672705673,4.003721334529632,2.988772349876099,5.015199148877721,4.992792293753679,1.9808259706389928,1.0017079692039295,0.9948826445853629,29.955660296304156,2.976380023899494,2.973596463574785,2.0255981764426014,4.996498457653916,3.981904581350873,4.065805910203983,2.0242109492071285,5.005437246077144,28.13267942008217,1,-56.46373167463615,3.8102671532140953,12.06027157591054
11-0942,4.0061402721957915,4.016375538642957,4.007784779979284,4.01917054401567,5.011219508713575,5.004131491649301,4.990599928431515,2.99688390504315,1.990033041643581,1.9906869893230088,31.12367897237748,4.999597798197412,2.9869981997429056,4.005248403246979,3.998012738723433,3.987198183404671,0.9896823382971625,3.983508393564593,4.998978676782865,29.912013087685832,0,-38.92660476840088,3.0891239422905876,12.251038695342915
11-0863,2.968495430031874,3.9972750927381617,4.007379934940091,4.007264832212212,3.977795133545129,4.998836138558018,5.000302115428935,2.0080950795312615,2.037213289148353,2.0317073813509827,29.162188277369445,4.990884732871623,4.02125027282266,5.027142022175951,3.0090193381285015,3.97501885860753,3.011175142888215,5.017486900927031,4.99178974082448,33.90350594073128,0,-28.169436008684666,3.2197399729543177,11.862199547201868
11-0862,5.005791204504497,4.010641964129165,3.969852324361669,4.997763948579452,4.971573400525732,5.002580640935349,4.995290062693137,3.0083625792164144,2.0444311531757307,1.9911921449133132,32.88271844312489,4.9788673229812,5.024384070294721,4.969813407218477,3.9689245626687537,3.9760971897295345,5.012941833882756,4.972339705154721,5.019225010606841,38.09098751206119,0,-26.93381392407321,3.1233617299519785,12.682767370876654
11-0861,3.9931187888092285,4.005125876643975,5.010835933692643,5.017106911691411,4.995037359600147,5.002690612922199,5.000194736033998,3.0203864765726,1.9955142901911085,2.010715105808324,32.8941207862166,4.9822048747486996,3.9760779928637486,3.995464382636027,4.998538140498777,3.9888481382062833,2.9471070566243514,4.003929139124103,5.01381698545635,33.982710491042916,0,-31.73572153215344,2.630218003956621,10.245380049328345
11-0860,1.9879037715296874,4.004987131038183,2.9885831165449845,2.9823073271910547,4.980131081073829,4.999661293927094,5.001965461380887,3.0013052291672073,1.014811186220088,2.0062911161956682,26.945547829790453,5.009344174293515,3.0265450311154813,4.002411529565442,5.007377293086729,3.982838286608095,4.947506692204822,4.986076271033846,5.002198730646115,36.09945902290739,0,-17.098833776161563,2.654016721865675,10.097917845783499
11-0859,4.010930323045119,2.9960396814680035,2.981355005645059,2.9958541161965537,3.9806529856493844,5.003744361435718,4.986849918229111,1.0030324638909316,1.015663071807111,0.9755894707058889,26.950555859529583,4.992203525228484,2.9562968932970053,3.011073436862155,3.9926933391999233,4.0163274319591356,3.0262737797104964,2.0136746324039287,5.005296288652384,29.054008498751433,0,15.764099932164196,1.3970099506927105,11.664455284018056
11-0512,4.018423401472042,2.9822418668567674,3.9812084667249783,3.996293397999471,4.007870039546543,5.0017681986767055,5.004231765013411,2.9967851454243823,2.0179146694458825,2.9891189656707415,28.944408226916522,4.979366209198479,4.0106293637565615,4.9829567871909095,3.9881714702083135,4.000611133139437,1.9678644017500833,1.9848747888439768,4.99333631375137,31.027093359289136,0,49.011703913085114,2.575799048208744,9.692676275869992
11-0511,3.0166414698969715,2.9836292980997086,3.0073764300024957,2.9771995599406957,3.0120222226977877,4.997316859372042,4.992824865761076,1.9974088478321048,0.9891398724638317,1.0131266151697673,24.986072006536354,3.9910989938756702,3.0037175239948612,3.008326788491549,4.997743702128769,4.025807152268178,3.000364048285551,5.00215104880328,5.001867888237342,31.982924682102446,1,54.116732708353425,3.6115887678424925,8.944020239079816
11-0510,1.9850036386871714,3.0103542455662313,3.99621303161836,2.9922605679686987,4.010826694669204,4.989850245692919,4.999862910264865,1.026711113067889,1.0329060285128313,0.9978929578864391,25.96795871767569,5.004049255314793,2.9875437156220066,3.0098876865567923,4.9913363037921386,4.026013105075552,2.953667944433374,3.971249931786286,5.023751657903633,31.979290800897488,0,38.360398422483115,2.670129914436629,11.607290548519112
11-0509,2.9944745427945114,4.000284027407851,2.9713823893675886,2.9617528039100818,5.015217303708622,4.99609331795674,4.995955130227417,3.0033553644253557,0.9988361328179427,0.9765240037682922,27.90293620108231,4.990568104276614,2.9885897896077673,1.9985285601505653,4.996361553854731,4.000309807291952,4.989922095430399,4.989469462551254,5.01109114742501,34.162861231590476,0,34.53610893690691,3.630494724031887,10.30631697483825
11-0506,4.005919497591017,3.997978170563483,5.008133504136936,5.035246684271111,4.017033834285099,5.00678926895556,4.996614112746315,,1.007159807705768,2.0063217647489076,31.926370433356364,4.983072372368778,2.9892161172791156,3.009407333107489,4.993007335264326,3.959124756483036,4.006557995263653,4.0333208122962745,4.9905540921577245,32.949831804368,0,23.484215503191095,2.1258249484664944,11.491572697027259
11-0504,3.0174324615471777,2.993812580484534,2.9755059990751813,2.982720893656957,2.970786358661317,3.999732832435049,5.010391299399053,1.9852984325040302,1.000034671599154,0.990668433120718,24.110883662176313,3.9871275298616067,1.9965312552774725,3.0063320088844288,5.023130007474168,4.008126501478021,0.9367902675242725,3.946840331823633,0.003617674919364766,28.085301683256336,0,13.835778364101898,3.597060515158838,11.69811166530047
11-0503,2.9914374166367104,2.9955452328908585,5.002378969951326,4.029236432285415,5.006181637685576,5.002549944223553,3.001958492781544,1.005269212655013,0.9976299883865489,1.0069852731235223,27.974368379160595,5.012372446099749,3.033744638935077,1.9868205334577855,2.983122010640432,4.02333968779952,1.0016589521626271,4.001751524035391,5.000731167197173,26.924344394740054,0,6.107368060482656,2.9027544821489317,10.127972701682909
11-0500,4.996682374929054,4.015281516009903,3.0040579049124725,5.000702001861363,4.992731440777989,4.997596718903611,5.0055496584880155,3.0084520051877135,1.0047236014304843,1.0430722117380333,31.970698213872623,2.9709335159230075,2.0139853173856057,2.996834688208911,5.012364262614774,4.01290131665018,1.0033517582695748,3.04022831823429,5.004656887776874,25.92685182665296,0,5.583412435796573,-9.439845032812796,9.95241040709168
11-0499,3.980230394928477,3.995106523939014,5.015067521080199,4.010411994712788,4.9897420444011935,4.991002222831278,5.0009259242904065,3.014254733563066,1.9798794502285917,3.006128674720843,31.890973675803412,4.996250644602254,3.0243718969336695,3.974997706394419,4.991302326414896,4.007114054172808,3.9856243414425734,4.025555362766794,5.0159393435494,31.01497330399063,0,9.205182049411079,17.496177880521294,12.020831142345532
11-0498,4.97862443735609,3.9804248056096703,5.030314213898777,4.990990079514136,5.007691359284847,4.9979736296187,5.00380336874667,3.0080893498119874,2.9665560629914105,3.0098102144476075,33.96678401522684,2.9983891997760383,2.9945276013509794,4.970054867160873,5.004825782069365,3.9949421384004484,0.966235803822359,5.002439262910334,4.9918634399779584,30.987484356808622,0,152.695630355048,62.39034066304395,161.30754548053326
11-0497,3.0145193951168174,4.010854903511013,3.9767809152549467,3.0038327143291492,4.976252718184081,4.991317617948057,5.002560337197449,2.998372869319901,0.9963796401754453,0.9959296788124861,29.06890364399135,4.989426131940159,3.003912319162737,3.0050912595596904,5.009583362870857,3.9759699236522965,3.9884448471791565,5.021479631011367,4.998194106979642,34.07877917818388,0,167.09217625959386,-32.666735754661445,-165.34052544677303
11-0495,4.024235272658831,3.9970094653289916,4.999107191289463,5.01199030759208,4.975967070343132,4.990775565364528,5.001560918321246,2.997824856205966,2.9850620595441004,1.982058348337891,33.042705342174486,4.986596891232261,3.981792583064283,4.962085465472538,5.02266735413683,4.012760706270035,0.9884885612361192,3.978936536016438,4.989948986682399,32.97724841731112,0,14.14258258948266,-69.4377433144628,-4.056374953228371
11-0486,4.998713218240185,5.000458277788358,4.9952983337426575,5.012249523082008,5.008695411089844,5.010237896467067,5.006791661271209,2.9990745911029344,3.009289323731058,2.0164086341200016,35.058161677553834,5.01375689032716,1.995268958103371,3.9951588593111254,5.005819689214699,3.9960168746499143,5.059060733665499,5.021024818832813,5.001921590027751,34.95746809499869,0,-56.56265751748011,-32.66530016852934,82.3536904754657
11-0485,3.017932587809068,4.023465428277488,4.007379970272307,5.0142811978701385,5.006694574515327,4.996432758433063,5.000960056321615,2.001376122498505,1.007359982001286,0.9902912850480522,30.913693397074336,5.013709084721097,2.9906125041988947,3.0082755555794636,4.994128381788204,4.0063682853622185,4.99629254646366,5.035241629529007,5.000963885715809,34.89573215848114,0,-52.66562819745083,42.941184046421625,129.54267041060845
11-0484,4.006462239342339,3.9996998825612833,5.0036694646006,4.993210618251088,4.001876574810573,4.99370353903048,5.0140178586668975,3.0162747495768194,3.0002287112797563,1.9963273101329326,31.91254460382556,5.001473278319304,3.0083024473783415,3.000329097747215,5.0009742057470286,3.9880241191257766,3.985753038010305,5.006756844316335,5.0186330993498816,34.19160452910512,0,-59.68224057653526,65.17771278630116,164.12774714040575
